name,date,location
Random raffle,2023-06-01,"321 Side St, Nowheretown"
Birthday Bash,2023-07-15,"123 Main St, Anytown"
Summer BBQ,2023-08-05,"456 Park Ave, Somewhere City"
Family Reunion,2023-09-02,"789 Elm St, Hometown"
Anniversary Celebration,2023-09-20,"321 Oak Rd, Nearby Town"
Graduation Party,2023-10-12,"987 Pine Ln, Outskirts"
Halloween Costume Contest,2023-10-31,"654 Cedar Dr, Spookyville"
Thanksgiving Feast,2023-11-23,"789 Walnut Ave, Harvestville"
Winter Wonderland Gala,2023-12-15,"321 Frosty Rd, Snowville"
New Year's Eve Party,2023-12-31,"654 Icicle Ln, Celebration City"
Valentine's Day Dinner,2024-02-14,"987 Love St, Romance Town"
